comuna,area_km2,A_mediana_km,B_min_km,B_mediana_km,radio_23_km,B_med_sobre_A,formula_sobre_A
Antofagasta,30703.170884690473,12.896049999999999,30.4925,92.442,65.90607063520122,7.168241438269858,5.110562585846148
Concepcion,219.12756163241787,4.936,4.307300000000001,18.249599999999997,5.567783089762288,3.697244732576985,1.1279949533554068
Natales,51382.23445190726,1.56575,6.3999,6.3999,85.25901242750547,4.08743413699505,54.45250673958516
Providencia,14.400067463231915,2.8826,1.6011,3.3376000000000006,1.427302636328829,1.1578436134045655,0.4951441880000101
